First name,Last name,Uni ID,Institution,Department,Email address,Groups,Assignment: Assignment 1 (SQL): Marks and Feedback (Real),Assignment: Assignment 2 (Database Theory): Marks and Feedback (Real),Quiz: NoSQL Test (Real),Total marks for quizzes (Real),Lab activities (Lab 1-8) (Real),Final Exam (Real),"Quiz: Quiz for Week 2 (deadline: 11:59pm, Aug 1, Tuesday) (Real)","Quiz: Quiz for Week 3 (deadline 23:59, August 8, Tuesday) (Real)","Quiz: Quiz for Week 4 (deadline: 11:59pm, August 15, Tuesday) (Real)","Quiz: Quiz for Week 5 (deadline: 11:59pm, 22 August, Tuesday) (Real)","Quiz: Quiz for Week 6 (deadline: 11:59pm, 29 August, Tuesday) (Real)","Quiz: Quiz for Week 7 (deadline: 11:59pm, 19 September, Tuesday) (Real)","Quiz: Quiz for Week 8 (deadline 11:59pm, 26 September, Tuesday) (Real)","Quiz: Quiz for Week 9 (deadline: 23:59, 3 October, Tuesday) (Real)","Quiz: Quiz for Week 10 (deadline: 11:59pm, October 10, Tuesday) (Real)","Quiz: Quiz for Week 11 (deadline: 11:59pm, 17 October, Tuesday) (Real)",Attendance: Lab Engagement (Real),Attendance: Lab 8 Engagement (Real),Quiz: DA/PX Exam (Real),Course total (Real),Last downloaded from this course
XULIXG,WUZEHX,u0000011,,,u0000011@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/25 (Classes 7460/7511),15.3,10.6,2.6,2.8,2.4,19.8,0.5,0.4,0.5,0.3,0.4,0.3,0.6,0.3,0.3,0.4,97,-,-,55.4,1710372713
QSHBDQ,QOEPVU,u0000012,,,u0000012@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),18.9,14.4,4.4,3.4,2.2,43.9,0.6,0.6,0.5,-,0.5,0.3,0.5,0.6,0.5,0.6,99.6,-,-,92.9,1710372713
EDPDPI,QHBKAS,u0000013,,,u0000013@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/22 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116);Supplementary and Deferred Exam,15.9,13,4.6,2.8,1.1,-,0.4,0.4,0.4,0.1,0.5,-,0.3,-,0.3,0.6,25.6,0,16.7,35.8,1710372713
CZVQTS,JHNNOJ,u0000014,,,u0000014@anu.edu.au,[MyTT] ComA/09 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.5,10.7,-,2.2,2.2,30.6,0.5,0.4,0.4,0.4,-,-,-,-,0.3,-,55.5,-,-,64.4,1710372713
GWBBYI,NUJHRU,u0000015,,,u0000015@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),9,12.7,3.4,2.5,1.6,25.6,-,0.6,0.3,-,-,0.4,0.3,0.4,0.3,-,44.2,-,-,50,1710372713
ZALNSF,DTBIFT,u0000016,,,u0000016@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),16.2,12.3,4.2,3,2.4,39.6,0.6,0.6,0.5,0.4,0.5,0.6,0.5,0.4,0.5,0.5,84.6,-,-,81.5,1710372713
SVLUQC,MZRJKX,u0000017,,,u0000017@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),19.2,12.3,2.7,3,2,45.5,0.5,0.4,0.3,0.6,0.3,0.5,0.5,0.4,-,-,51.4,-,-,86,1710372713
GQCBGA,DVNVWI,u0000018,,,u0000018@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),20.7,15.6,4,3.3,2.1,35.1,0.5,0.5,0.4,0.2,0.5,0.5,0.5,0.5,0.4,0.5,92.1,110.2,-,78.1,1710372713
HKTIUX,XDYVRE,u0000019,,,u0000019@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),15.6,7.3,4.3,3.1,2.2,27.5,-,0.5,0.2,0.5,0.5,0.6,0.5,0.3,0.4,0.6,75.2,-,-,58.9,1710372713
UAZWND,VAXLBD,u0000020,,,u0000020@anu.edu.au,[MyTT] ComA/10 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),8.8,10.4,3.5,1.4,2.3,32.8,0.1,-,-,-,-,-,0.6,0.2,-,0.6,85,-,-,58.8,1710372713
BUJEWO,AGNDFA,u0000021,,,u0000021@anu.edu.au,[MyTT] ComA/01 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),15.6,8.1,2.9,2.9,2.2,42.2,0.6,-,0.4,0.3,0.6,-,0.3,0.5,0.2,0.6,83.3,-,-,72.6,1710372713
XXTHCN,TWMQCK,u0000022,,,u0000022@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511),17.3,9.6,3.9,2.5,2.3,26.3,0.3,0.4,0.3,-,0.5,0.3,0.4,0.4,0.3,-,59.9,-,-,61.4,1710372713
DLHOKW,ODKROY,u0000023,,,u0000023@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),16.1,7.6,1.9,2.9,2.2,48.1,0.5,-,0.2,0.5,0.4,0.2,0.1,0.4,0.3,0.6,104.2,-,-,83.6,1710372713
RRFDMD,VRERPC,u0000024,,,u0000024@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),19.4,15.6,4,2.7,2.3,40.1,0.5,0.6,0.5,0.4,0.4,0.5,0.6,0.4,0.4,-,89.6,-,-,77.7,1710372713
OSGQKV,ARHJHS,u0000025,,,u0000025@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,16.6,5.6,3.9,2.4,2.3,-,-,0.5,0.4,0.2,0.5,0.2,0.4,-,0.5,-,58.2,-,42.9,27.5,1710372713
EXDDHL,MLQPJL,u0000026,,,u0000026@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),12.5,7.3,4.2,1.5,0,22.4,-,0.5,0.4,0.1,-,-,-,-,0.3,-,0,-,-,52.1,1710372713
YFGLIW,BRGDPU,u0000027,,,u0000027@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17.7,11.6,2.5,2.1,2.4,43.8,0.4,0.6,-,0.3,-,-,0.2,0.5,-,-,65.4,-,-,80.5,1710372713
NZAFTK,WBJUNW,u0000028,,,u0000028@anu.edu.au,[MyTT] ComA/11 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),22.8,16.1,3,3.1,2.1,47.8,0.4,0.5,0.5,0.5,0.5,0.5,-,0.4,0.5,-,85.5,-,-,96.8,1710372713
FTIAHN,KVBBTP,u0000029,,,u0000029@anu.edu.au,[MyTT] ComA/02 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),19.9,13.1,3.4,3,2.3,36.4,0.3,0.4,0.6,0.6,0.4,0.5,-,0.5,0.4,0.3,57.5,-,-,81,1710372713
QYKDUC,NOPADK,u0000030,,,u0000030@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),21.1,6.5,4.3,2.2,2.3,38.2,0.3,0.4,0.2,0.1,-,0.2,0.3,0.5,-,0.5,64.3,-,-,67.5,1710372713
DXOMBH,FDFFOT,u0000031,,,u0000031@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20.2,15.8,4.4,3.1,2.2,41.5,0.5,0.6,0.5,0.4,0.6,0.5,0.5,0.6,0.4,-,102.9,-,-,89.4,1710372713
FZXROH,ALYBXN,u0000032,,,u0000032@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.5,4.4,4.7,2.8,2.4,8.8,-,0.5,0.6,0.6,0.6,-,0.4,-,-,-,70.6,-,-,38.3,1710372713
YCQBZJ,WJJLEY,u0000033,,,u0000033@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),14.7,12.7,3.2,2.7,2.4,32.5,0.5,0.5,0.5,0.3,-,0.3,0.5,0.5,-,0.6,77.8,-,-,67.1,1710372713
UUPURO,QOAYKR,u0000034,,,u0000034@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),19.6,14,3.3,2.8,2.3,39.2,-,0.6,0.5,0.3,0.5,0.3,0.6,0.2,0.2,0.5,95.1,-,-,76.9,1710372713
OIJSYU,RDGFAF,u0000035,,,u0000035@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),15.3,12.3,2.5,3,2.3,30.7,0.6,0.6,0.5,0.3,0.5,0.3,0.4,0.5,0.6,-,89.8,-,-,71.8,1710372713
MXYAVJ,QYEBJR,u0000036,,,u0000036@anu.edu.au,[MyTT] ComA/02 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),10.4,12.6,3.2,1.6,0.5,22.9,0.3,-,0.5,0.3,-,-,0.4,-,0.2,-,14.1,-,-,53,1710372713
ZETHDI,HVUUPU,u0000037,,,u0000037@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/22 (Classes 7460/7511),23,17.3,4,3.6,2.3,28.7,0.3,0.5,0.4,0.5,0.5,0.5,0.6,0.5,0.5,-,80.3,-,-,82.2,1710372713
QRYAFX,IPQUPQ,u0000038,,,u0000038@anu.edu.au,[MyTT] ComA/09 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.9,12.1,2.6,2.6,2.1,41.3,0.1,0.5,0.4,0.3,-,0.4,0.3,-,0.4,-,80.2,-,-,71.5,1710372713
EUONQN,DMLMKR,u0000039,,,u0000039@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),16.3,6.3,3.9,2.9,2.2,38,0.4,0.4,0.3,0.6,0.5,0.4,0.6,0.4,0.3,0.6,82.8,-,-,65.8,1710372713
MDIFPF,TJSLUC,u0000040,ANU,Student something,u0000040@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/21 (Classes 7460/7511);Lab 8 Option 1 (02) Mon Oct 16 14:00 - 16:00 (HN 1.24),19.6,9.5,3.6,3.1,2.3,30.7,0.5,0.4,0.5,0.5,0.5,-,0.5,0.5,0.3,0.5,88.3,105.2,-,67.1,1710372713
HHUURC,VVAPPG,u0000041,,,u0000041@anu.edu.au,[MyTT] ComA/02 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),19.4,5.7,3.4,1.9,0,22.2,-,0.3,0.3,0.5,0.6,-,-,-,0.3,0,0,-,-,55.2,1710372713
HABSYE,LHVBFD,u0000042,,,u0000042@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116);Lab 8 Option 3 (01) Thu Oct 12 18:00 - 20:00 (HN 1.24);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24);Supplementary and Deferred Exam,16,7.5,-,2.4,2.3,19.9,0.6,0.6,0.4,-,-,-,-,0.3,0.4,-,50.6,109.3,39,49.8,1710372713
VKQNCA,VUDQWY,u0000043,,,u0000043@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),15.6,4.3,3.3,2.4,2.1,32.6,0.3,0.3,0.3,0.2,0.6,0.2,0.4,0.3,0,0.5,95.4,0,-,59,1710372713
XAVADO,LGWWWK,u0000044,,,u0000044@anu.edu.au,[MyTT] ComA/08 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24),9.9,11.5,3.2,2.7,2.1,37.3,0.5,0.5,0.4,0.2,0.5,0.5,0.3,0.6,0.4,0.5,99.1,109.8,-,64.1,1710372713
LSLOJU,BBQNAX,u0000045,,,u0000045@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511),19.8,11.1,3.3,3.5,2.1,43,0.5,0.6,0.6,0.4,0.5,0.5,0.6,0.5,-,-,58,-,-,92.2,1710372713
GFHOJB,RYSPVZ,u0000046,,,u0000046@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20.5,13.8,3.1,2.8,2.3,51.1,0.5,0.5,0.4,0.1,0.5,-,0.2,0.3,0.2,0.6,102.8,-,-,87.6,1710372713
OZPMOX,GXLOQB,u0000047,,,u0000047@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/22 (Classes 7460/7511),18.5,13.9,3.4,3.1,2.3,26,0.4,0.4,0.1,0.5,-,0.3,0.6,-,0.3,0.5,66.1,-,-,68.7,1710372713
OFINWE,FFQDQR,u0000048,,,u0000048@anu.edu.au,[MyTT] ComA/06 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),22.4,14,5.2,3.3,2.2,30.4,0.4,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.5,50.6,-,-,75.7,1710372713
ROSORO,KDZTNH,u0000049,,,u0000049@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (02) Mon Oct 16 14:00 - 16:00 (HN 1.24),17.1,13.1,3.5,3.1,2,47.2,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,107.3,116.8,-,87.4,1710372713
WAHDCQ,JDNBXB,u0000050,,,u0000050@anu.edu.au,[MyTT] ComA/20 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),21.3,14.5,4.8,3.1,2.4,36.7,0.3,0.6,0.5,0.5,0.6,0.6,0.4,0.6,0.3,0.5,92.7,-,-,88,1710372713
NJCHEK,TNIRGT,u0000051,,,u0000051@anu.edu.au,[MyTT] ComA/16 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),16.5,9.2,3.2,2.5,2.3,26.1,0.2,0.5,0.4,0.3,0.6,0.4,0.3,0.3,0.4,0.5,54.3,-,-,58.8,1710372713
QEASZW,WUVYXG,u0000052,,,u0000052@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.2,11.5,5,2.5,2.2,35.6,0.3,0.3,0.3,0,0.5,0.2,0.6,0.5,0.4,0.5,55.2,-,-,71.5,1710372713
CUGOWM,ERBWVE,u0000053,,,u0000053@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,20.8,11,4.5,3.3,2.2,-,0.5,0.5,0.3,0.5,0.5,0.6,0.5,0.5,0.3,0.6,58.8,-,30,40.6,1710372713
PIKADC,OIIBYW,u0000054,,,u0000054@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),19.4,11.5,4.6,3.4,2.2,22.9,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.3,0.3,0.5,74.5,102.2,-,64.3,1710372713
JMUTMV,DNOQZD,u0000055,,,u0000055@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),20.8,10.3,4.9,3.4,2,42.7,0.5,0.6,0.4,0.6,0.6,0.4,0.4,0.4,0.6,0.6,98.4,-,-,92.5,1710372713
BOFJOO,JIXNAT,u0000056,,,u0000056@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/01 (Classes 7460/7511),19.7,16.8,4.1,3.1,2,41.5,0.5,0.5,0.5,0.4,0.6,0.5,0.5,0.5,-,-,55.8,-,-,93.3,1710372713
WZJECK,TIYYJQ,u0000057,,,u0000057@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (01) Thu Oct 12 18:00 - 20:00 (HN 1.24),17.4,8,3.9,2.8,2,34.2,0.4,0.4,0.2,0.1,0.6,0.2,0.4,0.3,0.1,0.6,71.4,-,-,68.6,1710372713
OWABPA,BZPJHY,u0000058,,,u0000058@anu.edu.au,[MyTT] ComA/06 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17.7,13.3,4.4,3.2,1.1,28,0.5,0.5,0,-,0.6,0.3,0.4,0.4,-,0.5,27.6,-,-,74,1710372713
UNYERW,JNDSKI,u0000059,,,u0000059@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.1,14.4,3.3,3.2,2.2,26.3,0.4,0.5,0.4,0.6,-,0.5,0.5,0.4,0.4,0.6,54.7,-,-,66.4,1710372713
BIUXIN,GWNSYE,u0000060,,,u0000060@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),21.5,14.7,3.6,3.2,2.2,29.8,0.4,0.4,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.6,79.8,-,-,73.2,1710372713
ZSHLDT,JENTLG,u0000061,,,u0000061@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),18.3,14.1,4.3,3.2,2.1,29.9,0.6,0.6,0.6,0.3,0.5,0.4,-,0.6,0.4,-,69.2,-,-,75.8,1710372713
FTQLTN,YPSQFT,u0000062,,,u0000062@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),14.4,13.4,3.4,3.3,2.3,44.4,0.4,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.2,0.5,67.2,-,-,79.7,1710372713
ESVHLK,TSCCWZ,u0000063,,,u0000063@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),23.5,12.9,-,3.5,2.1,37.5,0.5,-,0.5,0.6,0.6,0.3,0.6,0.5,-,-,50.3,-,-,76.8,1710372713
OURABX,QPAUDR,u0000064,,,u0000064@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),22.5,9.4,4.6,3.4,2.3,31.9,0.3,0.5,0.5,0.6,0.6,0.5,0.4,0.5,-,0.5,57,-,-,79.2,1710372713
LQCXUJ,LZGNYK,u0000065,,,u0000065@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,15.5,6.3,4,1.9,2.3,14.8,0.3,0.3,0.3,0.2,0.2,0.3,-,0.3,0.1,0.5,73.8,-,21.7,42,1710372713
IEJGJY,MDKHJU,u0000066,,,u0000066@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (02) Mon Oct 16 12:00 - 14:00 (HN 1.24),19.1,16.3,4.3,3.1,2.4,38.1,0.4,0.5,0.4,0.6,0.5,0.1,0.5,0.4,0.4,0.5,99.7,-,-,81.8,1710372713
VZQVIE,JALTLG,u0000067,,,u0000067@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),16.5,12,4.5,3.2,2,17.5,0.5,0.5,0.4,0.6,0.6,0.5,0.5,-,0.3,0.5,50.9,-,-,57.5,1710372713
HNKKVM,OCHDHE,u0000068,,,u0000068@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),17,8.7,3.1,2.1,1.2,27.3,0.3,0.5,-,0.2,-,0.3,0.2,0.2,0.3,0.4,29.7,-,-,60.3,1710372713
HCRUVM,YDYDFT,u0000069,,,u0000069@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),21.5,14.1,4,3.1,2.2,34,0.5,0.5,0.3,0.5,0.6,0.6,0.5,-,-,-,56.2,-,-,71.5,1710372713
UTDGEJ,FXGOLI,u0000070,,,u0000070@anu.edu.au,[MyTT] ComA/06 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),21.3,14.9,3.8,3.6,2.2,44.8,0.5,0.6,0,0.6,0.6,0.5,0.5,-,-,-,57.8,-,-,84.4,1710372713
TAOCEN,ELFESK,u0000071,,,u0000071@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24),18.3,12.9,4,3.1,2,38.1,0.6,0.5,0.3,0.6,0.6,0.6,0.5,0.6,0.4,0.5,114.9,102.9,-,83.7,1710372713
PUHLNU,WAKFAM,u0000072,,,u0000072@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,13.9,10,3.6,2.8,2,-,0.6,0.5,0.2,0.2,0.6,0.6,0.5,0.3,0.4,0.6,58,-,44.4,36.1,1710372713
YSFTIK,XXCXLO,u0000073,,,u0000073@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511),14.5,7.2,2.2,3.4,2.1,27.6,0.6,0.5,0.6,0.3,0.5,0.6,0.4,-,-,-,53.1,-,-,59,1710372713
FLXVCE,KFKCJN,u0000074,,,u0000074@anu.edu.au,[MyTT] ComA/16 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),6.1,11.2,3.5,3.6,2.2,35.3,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,-,-,50.9,-,-,54.9,1710372713
KMHLVJ,DLHCLF,u0000075,,,u0000075@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),18.5,11.2,3.5,3.2,2.3,30.1,0.5,0.6,0.3,0.5,0.5,0.3,-,0.4,-,0.5,56.2,-,-,68.3,1710372713
XKDWYR,BFNHGI,u0000076,,,u0000076@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),23.5,15.9,4.8,3.4,2.4,39.7,0.5,0.6,0.5,0.6,0.6,0.5,0.5,0.4,0.3,0.6,102,-,-,85.2,1710372713
