First name,Last name,Uni ID,Institution,Department,Email address,Groups,Assignment: Assignment 1 (SQL): Marks and Feedback (Real),Assignment: Assignment 2 (Database Theory): Marks and Feedback (Real),Quiz: NoSQL Test (Real),Total marks for quizzes (Real),Lab activities (Lab 1-8) (Real),Final Exam (Real),"Quiz: Quiz for Week 2 (deadline: 11:59pm, Aug 1, Tuesday) (Real)","Quiz: Quiz for Week 3 (deadline 23:59, August 8, Tuesday) (Real)","Quiz: Quiz for Week 4 (deadline: 11:59pm, August 15, Tuesday) (Real)","Quiz: Quiz for Week 5 (deadline: 11:59pm, 22 August, Tuesday) (Real)","Quiz: Quiz for Week 6 (deadline: 11:59pm, 29 August, Tuesday) (Real)","Quiz: Quiz for Week 7 (deadline: 11:59pm, 19 September, Tuesday) (Real)","Quiz: Quiz for Week 8 (deadline 11:59pm, 26 September, Tuesday) (Real)","Quiz: Quiz for Week 9 (deadline: 23:59, 3 October, Tuesday) (Real)","Quiz: Quiz for Week 10 (deadline: 11:59pm, October 10, Tuesday) (Real)","Quiz: Quiz for Week 11 (deadline: 11:59pm, 17 October, Tuesday) (Real)",Attendance: Lab Engagement (Real),Attendance: Lab 8 Engagement (Real),Quiz: DA/PX Exam (Real),Course total (Real),Last downloaded from this course
DWLTZI,XXBKAW,u2400011,,,u2400011@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/25 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.5,0.5,-,-,-,-,-,-,-,116.6,-,-,-,1710372713
SEGWUN,QPIPBX,u2400012,,,u2400012@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.5,0.6,-,-,-,-,-,-,-,103.8,-,-,-,1710372713
MLDMOF,XDIYTE,u2400013,,,u2400013@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/22 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116);Supplementary and Deferred Exam,-,-,-,-,-,-,0.5,0.3,-,-,-,-,-,-,-,-,109.7,-,-,-,1710372713
NNCDHU,ZFWZYB,u2400014,,,u2400014@anu.edu.au,[MyTT] ComA/09 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.5,0.4,-,-,-,-,-,-,-,105.1,-,-,-,1710372713
BMTMHM,VHHCLN,u2400015,,,u2400015@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.5,0.4,-,-,-,-,-,-,-,105.1,-,-,-,1710372713
RCZPQX,ODUIHS,u2400016,,,u2400016@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.6,0.6,-,-,-,-,-,-,-,103.9,-,-,-,1710372713
GADDMD,WWYYIZ,u2400017,,,u2400017@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.5,0.4,-,-,-,-,-,-,-,111.2,-,-,-,1710372713
TPVKXJ,DGOFYD,u2400018,,,u2400018@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),-,-,-,-,-,-,0.4,0.5,0.6,-,-,-,-,-,-,-,-,-,-,-,1710372713
IMAXDO,QEIRIX,u2400019,,,u2400019@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.5,0.5,-,-,-,-,-,-,-,108.6,-,-,-,1710372713
KYYDLJ,MNRXOT,u2400020,,,u2400020@anu.edu.au,[MyTT] ComA/10 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.2,0.5,0.3,-,-,-,-,-,-,-,0,-,-,-,1710372713
DWKTFC,RGGSFD,u2400021,,,u2400021@anu.edu.au,[MyTT] ComA/01 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.5,0.4,-,-,-,-,-,-,-,0,-,-,-,1710372713
MZETXS,WOBRPW,u2400022,,,u2400022@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.6,0.6,-,-,-,-,-,-,-,118.3,-,-,-,1710372713
COTZTL,WPZZGI,u2400023,,,u2400023@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.6,0.6,-,-,-,-,-,-,-,107.5,-,-,-,1710372713
YJTFOJ,CIQVXN,u2400024,,,u2400024@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.6,0.6,-,-,-,-,-,-,-,111.2,-,-,-,1710372713
ZUBIJG,RFXWGE,u2400025,,,u2400025@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,-,-,-,-,-,-,0.4,0.6,0.6,-,-,-,-,-,-,-,113.7,-,-,-,1710372713
DAGASQ,JDQMHM,u2400026,,,u2400026@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.4,0.1,-,-,-,-,-,-,-,119.2,-,-,-,1710372713
VAZAGE,KCLEBW,u2400027,,,u2400027@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.3,0.5,0.6,-,-,-,-,-,-,-,114.1,-,-,-,1710372713
RHEXEG,HKBFIE,u2400028,,,u2400028@anu.edu.au,[MyTT] ComA/11 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.6,0.4,-,-,-,-,-,-,-,100.5,-,-,-,1710372713
YYESOS,VJZUUJ,u2400029,,,u2400029@anu.edu.au,[MyTT] ComA/02 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,-,0.3,-,-,-,-,-,-,-,106.1,-,-,-,1710372713
FCFVLV,DEXGYX,u2400030,,,u2400030@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,0,-,-,-,1710372713
TDHEMT,PJWGLX,u2400031,,,u2400031@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.3,0.4,0.6,-,-,-,-,-,-,-,107.3,-,-,-,1710372713
LSNWVL,HASVFL,u2400032,,,u2400032@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,-,0.6,-,-,-,-,-,-,-,-,109.1,-,-,-,1710372713
HSDYBX,WXKPKB,u2400033,,,u2400033@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),-,-,-,-,-,-,0,0.4,0.3,-,-,-,-,-,-,-,118.9,-,-,-,1710372713
USBSWE,KSBSGE,u2400034,,,u2400034@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.5,-,-,-,-,-,-,-,-,108.3,-,-,-,1710372713
GGHAJK,TVOZUG,u2400035,,,u2400035@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1710372713
DNOOYB,RIOTFI,u2400036,,,u2400036@anu.edu.au,[MyTT] ComA/02 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,-,0.5,-,-,-,-,-,-,-,-,118,-,-,-,1710372713
PCQVGF,WMMSGM,u2400037,,,u2400037@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/22 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.5,0.5,-,-,-,-,-,-,-,110,-,-,-,1710372713
RGZTQO,OBDRGJ,u2400038,,,u2400038@anu.edu.au,[MyTT] ComA/09 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.6,0.6,-,-,-,-,-,-,-,117.7,-,-,-,1710372713
WVBZHX,ZUUOCO,u2400039,,,u2400039@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),-,-,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-,114.5,-,-,-,1710372713
AUGGHI,NBGWRF,u2400040,ANU,Student something,u2400040@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/21 (Classes 7460/7511);Lab 8 Option 1 (02) Mon Oct 16 14:00 - 16:00 (HN 1.24),-,-,-,-,-,-,0.5,0.5,0.4,-,-,-,-,-,-,-,116.1,-,-,-,1710372713
HTGQGF,JYPADY,u2400041,,,u2400041@anu.edu.au,[MyTT] ComA/02 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.6,0.5,-,-,-,-,-,-,-,103.5,-,-,-,1710372713
MBEKNC,DJPOON,u2400042,,,u2400042@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116);Lab 8 Option 3 (01) Thu Oct 12 18:00 - 20:00 (HN 1.24);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24);Supplementary and Deferred Exam,-,-,-,-,-,-,0.5,0.5,0.5,-,-,-,-,-,-,-,102.4,-,-,-,1710372713
JEMWHC,VFSBGX,u2400043,,,u2400043@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),-,-,-,-,-,-,0.4,0.6,0.4,-,-,-,-,-,-,-,108.1,-,-,-,1710372713
NPGOZK,WLUCEV,u2400044,,,u2400044@anu.edu.au,[MyTT] ComA/08 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24),-,-,-,-,-,-,-,0.5,-,-,-,-,-,-,-,-,0,-,-,-,1710372713
MNJRGN,MAURPL,u2400045,,,u2400045@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.6,0.6,-,-,-,-,-,-,-,106,-,-,-,1710372713
BSOYGN,UBBFUT,u2400046,,,u2400046@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-,72.4,-,-,-,1710372713
YTGPDI,ODSKFR,u2400047,,,u2400047@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/22 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.6,0.4,-,-,-,-,-,-,-,105.3,-,-,-,1710372713
HGALOU,VSNTPY,u2400048,,,u2400048@anu.edu.au,[MyTT] ComA/06 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.6,0.5,-,-,-,-,-,-,-,102.6,-,-,-,1710372713
JSRVZW,CSTLMB,u2400049,,,u2400049@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (02) Mon Oct 16 14:00 - 16:00 (HN 1.24),-,-,-,-,-,-,0.2,0.5,0.3,-,-,-,-,-,-,-,118.2,-,-,-,1710372713
CMHSEI,WYDMBO,u2400050,,,u2400050@anu.edu.au,[MyTT] ComA/20 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.6,0.5,-,-,-,-,-,-,-,102.4,-,-,-,1710372713
YQEKRN,MZPDKR,u2400051,,,u2400051@anu.edu.au,[MyTT] ComA/16 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,-,0.3,-,-,-,-,-,-,-,116.2,-,-,-,1710372713
TXUHRW,HDXAUM,u2400052,,,u2400052@anu.edu.au,[MyTT] ComA/17 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1710372713
HGXBWF,AOAZZX,u2400053,,,u2400053@anu.edu.au,[MyTT] ComA/07 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,-,-,-,-,-,-,0.4,0.6,0.6,-,-,-,-,-,-,-,116.3,-,-,-,1710372713
FBAUEK,NANUGJ,u2400054,,,u2400054@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),-,-,-,-,-,-,0.4,0.5,0.6,-,-,-,-,-,-,-,104.1,-,-,-,1710372713
WHDIKY,LKPGYZ,u2400055,,,u2400055@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.4,0.6,-,-,-,-,-,-,-,116.3,-,-,-,1710372713
XMUQWJ,FOMAXK,u2400056,,,u2400056@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.5,0.5,-,-,-,-,-,-,-,104.5,-,-,-,1710372713
CTRYCN,UUSTNI,u2400057,,,u2400057@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (01) Thu Oct 12 18:00 - 20:00 (HN 1.24),-,-,-,-,-,-,0.3,0.6,0.4,-,-,-,-,-,-,-,119.4,-,-,-,1710372713
GXCJSO,QWGBTZ,u2400058,,,u2400058@anu.edu.au,[MyTT] ComA/06 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.3,0.3,0.5,-,-,-,-,-,-,-,102.5,-,-,-,1710372713
DQDLMG,EDKWUP,u2400059,,,u2400059@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.4,0.3,-,-,-,-,-,-,-,112.7,-,-,-,1710372713
XJPMBG,TMBTAJ,u2400060,,,u2400060@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.6,0.6,-,-,-,-,-,-,-,106.1,-,-,-,1710372713
KMSBMW,WWFDWM,u2400061,,,u2400061@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.3,0.4,0.4,-,-,-,-,-,-,-,115.6,-,-,-,1710372713
MBDHFB,NLJAAE,u2400062,,,u2400062@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,-,0.5,0.6,-,-,-,-,-,-,-,107.5,-,-,-,1710372713
RMXESO,XOAUYJ,u2400063,,,u2400063@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.5,0.3,-,-,-,-,-,-,-,0,-,-,-,1710372713
BBALWM,EGRQGW,u2400064,,,u2400064@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.4,0.4,-,-,-,-,-,-,-,108.6,-,-,-,1710372713
QCHEXO,JENRRU,u2400065,,,u2400065@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,-,-,-,-,-,-,0.6,0.5,0.4,-,-,-,-,-,-,-,102.3,-,-,-,1710372713
TUCVGD,BRZQHV,u2400066,,,u2400066@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (02) Mon Oct 16 12:00 - 14:00 (HN 1.24),-,-,-,-,-,-,0.3,0.5,0.6,-,-,-,-,-,-,-,117.4,-,-,-,1710372713
IXBJMI,THQTDF,u2400067,,,u2400067@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.6,0.5,-,-,-,-,-,-,-,110.2,-,-,-,1710372713
XCJRUW,IDRTOW,u2400068,,,u2400068@anu.edu.au,[MyTT] ComA/05 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.6,0.4,-,-,-,-,-,-,-,107.6,-,-,-,1710372713
ECOHAN,FUYMXZ,u2400069,,,u2400069@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.5,0.3,-,-,-,-,-,-,-,100.6,-,-,-,1710372713
AAQVSD,FMIGLA,u2400070,,,u2400070@anu.edu.au,[MyTT] ComA/06 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.6,-,-,-,-,-,-,-,-,0,-,-,-,1710372713
NPPIZR,RSTDMG,u2400071,,,u2400071@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24),-,-,-,-,-,-,0.5,0.6,0.4,-,-,-,-,-,-,-,102.9,-,-,-,1710372713
LLNURH,TOTYVT,u2400072,,,u2400072@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1710372713
NOBBRF,JLHBVH,u2400073,,,u2400073@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511),-,-,-,-,-,-,0.3,-,0.6,-,-,-,-,-,-,-,104.1,-,-,-,1710372713
BFPURT,COTOGH,u2400074,,,u2400074@anu.edu.au,[MyTT] ComA/16 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.4,0.4,-,-,-,-,-,-,-,112,-,-,-,1710372713
CYMNBN,CGFJVG,u2400075,,,u2400075@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.2,0.6,0.3,-,-,-,-,-,-,-,101.1,-,-,-,1710372713
EAJPQW,MUEEZY,u2400076,,,u2400076@anu.edu.au,[MyTT] ComA/13 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.6,0.5,-,-,-,-,-,-,-,-,-,-,-,1710372713
DVFMZX,DYEAYZ,u2400077,,,u2400077@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.5,0.5,-,-,-,-,-,-,-,104.8,-,-,-,1710372713
XADUGN,CQTUEY,u2400078,,,u2400078@anu.edu.au,[MyTT] ComA/11 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.6,0.4,-,-,-,-,-,-,-,106.7,-,-,-,1710372713
HYXSVX,CKDJRZ,u2400079,,,u2400079@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.3,0.4,0.3,-,-,-,-,-,-,-,104.9,-,-,-,1710372713
RDEASI,IPFLST,u2400080,,,u2400080@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (01) Tue Oct 10 8:00 - 10:00 (CSIT N115/N116),-,-,-,-,-,-,0.5,0.6,0.4,-,-,-,-,-,-,-,101.9,-,-,-,1710372713
YGJLMO,SQOVQG,u2400081,,,u2400081@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/24 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116),-,-,-,-,-,-,0.3,0.5,0.4,-,-,-,-,-,-,-,-,-,-,-,1710372713
HWCNDB,QESZJI,u2400082,,,u2400082@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/25 (Classes 7460/7511),-,-,-,-,-,-,0.3,0.4,0.4,-,-,-,-,-,-,-,114.3,-,-,-,1710372713
QKLFBD,MAPHHR,u2400083,,,u2400083@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511);Lab 8 Option 3 (01) Thu Oct 12 18:00 - 20:00 (HN 1.24),-,-,-,-,-,-,0.4,0.5,0.5,-,-,-,-,-,-,-,105.6,-,-,-,1710372713
CREQFN,APOJFT,u2400084,,,u2400084@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 3 (01) Thu Oct 12 18:00 - 20:00 (HN 1.24),-,-,-,-,-,-,0.6,0.4,0.4,-,-,-,-,-,-,-,-,-,-,-,1710372713
OFPVDA,QNEGLZ,u2400085,,,u2400085@anu.edu.au,[MyTT] ComA/08 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116);Lab 8 Option 3 (02) Mon Oct 16 16:00 - 18:00 (HN 1.24),-,-,-,-,-,-,0.6,0.5,0.6,-,-,-,-,-,-,-,113.5,-,-,-,1710372713
YUBHVP,AYWUHS,u2400086,,,u2400086@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.2,0.5,0.4,-,-,-,-,-,-,-,-,-,-,-,1710372713
JZOZIP,QJWSEC,u2400087,,,u2400087@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),-,-,-,-,-,-,0.5,0.5,0.5,-,-,-,-,-,-,-,110.8,-,-,-,1710372713
MHOBJZ,IYEVQJ,u2400088,,,u2400088@anu.edu.au,[MyTT] ComA/04 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.5,0.6,-,-,-,-,-,-,-,102.9,-,-,-,1710372713
