First name,Last name,Uni ID,Email address,Groups,Course total (Real),Last downloaded from this course,Assignment: Assessment 1 ,Assignment: Assessment 2 ,Assignment: Assessment 3 ,Assignment: Exam 
l,yt,u1841422,u1841422@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),62.808,0,68.17,38.17,62.26,71.81
h,nw,u1261498,u1261498@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),70.643,0,60.7,66.81,62.73,77.33
w,md,u7279279,u7279279@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),68.978,0,63.68,38.17,79.28,78.24
z,df,u3575698,u3575698@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),63.516000000000005,0,41.64,68.17,62.59,66.4
p,cc,u1488328,u1488328@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),65.19,0,79.51,52.62,68.1,66.19
m,vh,u7732399,u7732399@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),57.473,0,79.28,55.65,78.9,45.27
f,nt,u4211225,u4211225@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),78.435,0,75.85,54.19,84.76,86.12
x,lf,u2620633,u2620633@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),74.90700000000001,0,59.27,78.27,80.98,74.26
w,fw,u6965968,u6965968@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),62.809,0,75.45,46.3,78.27,60.7
v,zd,u2070917,u2070917@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),72.104,0,52.52,84.5,79.51,68.1
j,um,u3706348,u3706348@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),68.175,0,80.98,77.33,74.93,59.25
a,mr,u8517693,u8517693@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),81.674,0,79.44,63.38,77.02,91.3
m,aj,u5735034,u5735034@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),71.46000000000001,0,69.41,74.42,100.0,59.27
y,xq,u2679397,u2679397@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),79.417,0,76.11,62.73,46.3,100.0
m,hj,u2735952,u2735952@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),58.55,0,70.77,62.59,55.65,55.65
u,iy,u7512879,u7512879@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),67.028,0,71.81,60.11,100.0,55.65
w,yf,u8364882,u8364882@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),69.31,0,41.64,80.98,75.85,67.56
h,pg,u7567521,u7567521@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),65.787,0,80.62,52.52,87.93,59.27
o,hy,u3978061,u3978061@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),71.34700000000001,0,78.27,67.56,63.99,74.42
u,io,u8554021,u8554021@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),62.664,0,63.68,84.7,45.03,60.7
w,wp,u4722543,u4722543@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),80.39099999999999,0,70.77,60.44,77.88,91.3
f,ps,u7590575,u7590575@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),78.564,0,84.31,59.25,78.24,85.27
h,xw,u2633584,u2633584@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),81.766,0,70.77,86.12,100.0,74.93
n,sv,u3838828,u3838828@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),71.78999999999999,0,66.4,74.93,52.62,79.28
a,rc,u3675609,u3675609@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),70.286,0,60.11,100.0,78.9,56.99
n,rm,u3202551,u3202551@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),60.68899999999999,0,78.66,62.73,62.26,55.65
g,ku,u2406382,u2406382@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),82.001,0,66.19,85.27,41.64,100.0
r,az,u4207340,u4207340@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),61.392,0,63.38,65.52,66.4,57.34
o,ch,u8253951,u8253951@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),68.072,0,79.44,38.17,71.27,76.48
b,xg,u5910816,u5910816@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),74.242,0,70.68,66.81,71.81,78.9
y,gk,u6960712,u6960712@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),65.012,0,86.12,100.0,66.25,46.3
c,th,u2895234,u2895234@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),71.02799999999999,0,41.64,62.26,79.51,77.02
l,sq,u7660927,u7660927@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),71.793,0,71.27,55.65,76.48,76.48
y,tf,u5489194,u5489194@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),63.657000000000004,0,78.27,63.99,74.26,56.36
p,xx,u6258822,u6258822@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),61.711,0,69.41,76.11,66.19,52.62
b,sa,u7621655,u7621655@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),81.462,0,91.3,91.3,84.31,74.42
m,wd,u6275924,u6275924@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),75.435,0,79.28,79.51,59.25,79.51
t,ar,u4826101,u4826101@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),66.328,0,69.06,68.1,60.11,67.56
c,fp,u1954451,u1954451@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),68.57499999999999,0,85.98,62.26,60.7,70.77
t,hg,u5783253,u5783253@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),68.938,0,38.17,83.14,76.99,66.19
j,yf,u9387987,u9387987@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),69.985,0,68.17,80.62,39.62,78.24
b,ch,u1896447,u1896447@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),75.44900000000001,0,66.19,76.2,66.4,80.62
a,ej,u7917498,u7917498@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),72.976,0,79.51,78.66,79.44,66.81
r,wn,u5235743,u5235743@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),77.704,0,56.99,71.81,56.99,92.49
z,dc,u1623809,u1623809@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),71.756,0,59.25,79.51,59.37,76.11
d,qy,u2892120,u2892120@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),77.877,0,77.33,79.51,78.66,77.02
c,wg,u4739736,u4739736@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),71.302,0,55.0,55.65,76.11,78.9
s,bz,u3157572,u3157572@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),70.88,0,84.7,92.49,78.66,56.36
b,ef,u7285031,u7285031@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),68.307,0,63.99,91.3,62.59,62.26
a,ii,u7146780,u7146780@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),62.113,0,79.51,74.26,55.65,56.36
b,vn,u8871671,u8871671@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),72.869,0,100.0,79.44,74.93,63.99
f,ms,u3474532,u3474532@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),80.48599999999999,0,77.02,77.02,91.3,78.24
l,sn,u4034003,u4034003@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),78.708,0,80.98,84.5,60.7,83.14
y,af,u4064690,u4064690@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),75.098,0,63.68,78.9,68.1,78.66
i,dn,u3551728,u3551728@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),65.07900000000001,0,87.93,84.7,80.98,46.3
z,oc,u7505197,u7505197@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),70.934,0,56.36,59.37,59.27,83.14
g,vg,u2113931,u2113931@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),73.89,0,100.0,55.65,100.0,65.52
r,kl,u6087343,u6087343@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),77.708,0,68.1,87.93,69.31,78.9
g,yr,u7953708,u7953708@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),70.81099999999999,0,59.37,80.79,87.93,62.26
e,hs,u2135086,u2135086@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),64.193,0,75.45,76.24,75.45,52.62
r,en,u5024690,u5024690@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),75.864,0,91.3,83.14,77.88,69.06
y,mm,u8521554,u8521554@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),65.79400000000001,0,62.26,85.98,60.11,60.7
y,hb,u9133230,u9133230@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),82.43,0,80.79,75.45,76.48,87.93
g,gb,u7275266,u7275266@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),70.1,0,75.85,71.81,62.59,71.27
g,ve,u8169776,u8169776@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),71.989,0,76.48,80.62,67.56,69.41
l,aj,u9395996,u9395996@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),77.717,0,69.31,69.06,77.02,83.14
j,kd,u6880541,u6880541@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),68.282,0,56.36,60.44,54.19,79.44
g,uv,u5451299,u5451299@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),64.514,0,52.62,77.88,62.73,62.26
s,em,u7215208,u7215208@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),84.999,0,45.03,84.31,68.17,100.0
i,ws,u9234446,u9234446@anu.edu.au,[MyTT] LecA/01 (Classes 5811/5817);[MyTT] LecB/01 (Classes 5811/5817);[MyTT] TutA/01 (Classes 5811/5817),66.99199999999999,0,62.59,55.0,78.24,68.17
